Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Arsenal,29,38.0,53,455,141,31.0,11.97,3.71,0.10,0.33,16.9,23,6,6,53.5,49.0,0.11,-0.5,-2.0
Aston Villa,24,38.0,52,519,179,34.5,13.66,4.71,0.09,0.26,16.4,15,5,6,53.0,48.6,0.10,-1.0,-1.6
Brighton,27,38.0,39,476,129,27.1,12.53,3.39,0.07,0.26,16.6,14,6,9,51.6,44.8,0.10,-12.6,-11.8
Burnley,25,38.0,32,383,125,32.6,10.08,3.29,0.08,0.23,16.6,15,3,3,39.9,37.6,0.10,-7.9,-8.6
Chelsea,27,38.0,56,553,194,35.1,14.55,5.11,0.09,0.25,16.3,16,8,10,64.0,56.4,0.10,-8.0,-8.4
Crystal Palace,24,38.0,39,346,129,37.3,9.11,3.39,0.10,0.28,16.8,18,3,4,32.4,29.5,0.09,+6.6,+6.5
Everton,29,38.0,45,395,144,36.5,10.39,3.79,0.10,0.28,16.4,15,4,5,47.2,43.5,0.11,-2.2,-2.5
Fulham,28,38.0,26,440,123,28.0,11.58,3.24,0.05,0.19,17.4,10,3,6,40.5,36.8,0.08,-14.5,-13.8
Leeds United,23,38.0,60,524,196,37.4,13.79,5.16,0.11,0.29,16.2,9,4,4,57.5,54.5,0.11,+2.5,+1.5
Leicester City,27,38.0,64,472,172,36.4,12.42,4.53,0.11,0.31,18.0,20,10,12,56.0,46.9,0.10,+8.0,+7.1
Liverpool,28,38.0,65,600,201,33.5,15.79,5.29,0.10,0.29,16.2,20,6,6,72.6,68.1,0.12,-7.6,-9.1
Manchester City,24,38.0,82,590,213,36.1,15.53,5.61,0.13,0.36,16.6,21,5,9,73.3,66.6,0.12,+8.7,+10.4
Manchester Utd,29,38.0,70,517,197,38.1,13.61,5.18,0.12,0.30,17.3,21,10,11,60.2,51.9,0.10,+9.8,+8.1
Newcastle Utd,27,38.0,44,387,130,33.6,10.18,3.42,0.10,0.29,17.5,24,6,7,41.0,35.5,0.09,+3.0,+2.5
Sheffield Utd,27,38.0,19,319,92,28.8,8.39,2.42,0.05,0.17,16.8,5,3,4,31.4,28.4,0.09,-12.4,-12.4
Southampton,29,38.0,47,417,157,37.6,10.97,4.13,0.10,0.27,17.6,20,5,6,42.4,37.9,0.09,+4.6,+4.1
Tottenham,24,38.0,66,442,166,37.6,11.63,4.37,0.14,0.37,17.2,35,5,5,54.6,50.8,0.12,+11.4,+10.2
West Brom,30,38.0,33,336,107,31.8,8.84,2.82,0.09,0.27,17.6,16,4,4,33.8,30.7,0.09,-0.8,-1.7
West Ham,24,38.0,60,462,158,34.2,12.16,4.16,0.13,0.37,15.4,16,2,4,53.9,50.7,0.11,+6.1,+7.3
Wolves,27,38.0,34,462,149,32.3,12.16,3.92,0.06,0.20,17.7,14,4,4,39.9,36.8,0.08,-5.9,-6.8