Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
Arsenal,29,38.0,510,315,242,194,74,175,516,33.9,341,4685,1331,28.4,1499,1897,1289,562,136,1,426,337,847,816,6
Aston Villa,24,38.0,590,358,268,234,88,203,557,36.4,354,5446,1473,27.0,1888,2277,1281,603,178,1,425,377,967,954,12
Brighton,27,38.0,664,415,336,253,75,218,602,36.2,384,5179,1638,31.6,1732,2164,1283,579,121,3,458,395,1059,704,5
Burnley,25,38.0,562,320,267,211,84,201,552,36.4,351,4655,1282,27.5,1382,2041,1232,650,193,5,457,399,961,1035,8
Chelsea,27,38.0,676,414,302,285,89,210,578,36.3,368,5386,1670,31.0,1696,2392,1298,582,100,1,482,444,1120,829,13
Crystal Palace,24,38.0,694,387,383,233,78,251,646,38.9,395,5702,1501,26.3,2314,2378,1010,659,152,2,507,459,1153,894,11
Everton,29,38.0,685,426,380,233,72,241,653,36.9,412,5663,1606,28.4,2221,2366,1076,669,176,1,493,401,1086,927,11
Fulham,28,38.0,672,416,312,263,97,216,562,38.4,346,5140,1538,29.9,1718,2153,1269,568,114,1,454,499,1171,1063,6
Leeds United,23,38.0,826,493,437,298,91,274,796,34.4,522,6658,1971,29.6,2340,2885,1433,577,163,2,414,477,1303,791,13
Leicester City,27,38.0,734,445,347,286,101,227,631,36.0,404,5142,1629,31.7,1797,2214,1131,605,112,3,493,433,1167,844,4
Liverpool,28,38.0,560,358,221,233,106,197,562,35.1,365,5399,1708,31.6,1341,2331,1727,504,77,4,427,384,944,769,21
Manchester City,24,38.0,554,365,222,228,104,214,612,35.0,398,4567,1461,32.0,1170,2032,1365,438,97,0,341,338,892,586,6
Manchester Utd,29,38.0,590,371,283,227,80,191,552,34.6,361,5041,1490,29.6,1537,2164,1340,608,135,0,473,455,1045,806,7
Newcastle Utd,27,38.0,608,364,317,233,58,205,585,35.0,380,5422,1346,24.8,2147,2247,1028,641,173,5,468,416,1024,1037,13
Sheffield Utd,27,38.0,669,369,345,253,71,247,710,34.8,463,6111,1519,24.9,2076,2626,1409,628,164,9,464,437,1106,1015,19
Southampton,29,38.0,784,455,380,319,85,296,748,39.6,452,5715,1782,31.2,1967,2501,1247,624,111,1,513,435,1219,855,10
Tottenham,24,38.0,692,423,349,259,84,258,691,37.3,433,5870,1643,28.0,2124,2563,1183,582,160,2,422,370,1062,1010,4
West Brom,30,38.0,662,397,365,226,71,227,650,34.9,423,5491,1529,27.8,2120,2267,1104,679,172,9,507,446,1108,1025,12
West Ham,24,38.0,559,346,308,197,54,190,614,30.9,424,4991,1342,26.9,1883,2135,973,603,143,4,460,426,985,990,9
Wolves,27,38.0,618,398,351,204,63,228,621,36.7,393,5202,1558,30.0,2108,2191,903,539,133,5,406,384,1002,899,6