Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Arsenal,3,38,38,3417,38.0,39,1.03,128,94,71.1,18,7,13,12,31.6,3,2,1,0,33.3
Aston Villa,1,38,38,3420,38.0,46,1.21,177,135,76.8,16,7,15,15,39.5,6,5,1,0,16.7
Brighton,2,38,38,3420,38.0,46,1.21,117,79,65.8,9,14,15,12,31.6,7,6,0,1,0.0
Burnley,3,38,38,3420,38.0,55,1.45,179,127,70.9,10,9,19,11,28.9,3,3,0,0,0.0
Chelsea,3,38,38,3420,38.0,36,0.95,103,70,68.0,19,10,9,18,47.4,4,3,1,0,25.0
Crystal Palace,2,38,38,3420,38.0,66,1.74,173,108,63.6,12,8,18,8,21.1,4,3,1,0,25.0
Everton,3,38,38,3420,38.0,48,1.26,158,111,71.5,17,8,13,12,31.6,4,3,0,1,0.0
Fulham,2,38,38,3420,38.0,53,1.39,164,118,72.0,5,13,20,9,23.7,7,7,0,0,0.0
Leeds United,2,38,38,3420,38.0,54,1.42,189,144,75.7,18,5,15,12,31.6,9,8,1,0,11.1
Leicester City,1,38,38,3420,38.0,50,1.32,134,87,65.7,20,6,12,11,28.9,4,4,0,0,0.0
Liverpool,3,38,38,3420,38.0,42,1.11,137,98,72.3,20,9,9,12,31.6,8,4,1,3,20.0
Manchester City,3,38,38,3420,38.0,32,0.84,89,65,73.0,27,5,6,19,50.0,10,8,2,0,20.0
Manchester Utd,2,38,38,3420,38.0,44,1.16,135,96,70.4,21,11,6,13,34.2,4,4,0,0,0.0
Newcastle Utd,2,38,38,3420,38.0,62,1.63,179,123,67.6,12,9,17,7,18.4,5,4,1,0,20.0
Sheffield Utd,1,38,38,3420,38.0,63,1.66,205,145,70.7,7,2,29,5,13.2,4,3,0,1,0.0
Southampton,2,38,38,3420,38.0,68,1.79,169,109,64.5,12,7,19,9,23.7,9,8,1,0,11.1
Tottenham,1,38,38,3420,38.0,45,1.18,144,111,75.7,18,8,12,12,31.6,10,10,0,0,0.0
West Brom,2,38,38,3420,38.0,76,2.00,235,166,70.6,5,11,22,6,15.8,12,7,2,3,22.2
West Ham,2,38,38,3420,38.0,47,1.24,143,102,69.2,19,8,11,11,28.9,6,3,2,1,40.0
Wolves,2,38,38,3420,38.0,52,1.37,144,99,68.8,12,9,17,10,26.3,8,7,1,0,12.5