Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
Arsenal,29,38.0,17802,21291,83.6,341180,93564,7057,7896,89.4,8102,8997,90.1,2374,3723,63.8,38,36.6,+1.4,323,1318,340,72,1340
Aston Villa,24,38.0,12780,16556,77.2,263575,95261,4835,5582,86.6,5510,6461,85.3,2175,3848,56.5,38,37.2,+0.8,399,1079,352,79,1236
Brighton,27,38.0,15598,19456,80.2,316711,97708,5744,6604,87.0,7143,8163,87.5,2475,4033,61.4,24,33.0,-9.0,349,1084,381,91,1252
Burnley,25,38.0,10644,15043,70.8,220877,86521,4419,5198,85.0,3913,4932,79.3,2038,4244,48.0,20,27.1,-7.1,267,881,283,84,943
Chelsea,27,38.0,21645,25150,86.1,408306,115504,8896,9759,91.2,9750,10705,91.1,2665,3901,68.3,38,42.4,-4.4,443,1440,393,80,1528
Crystal Palace,24,38.0,11392,15092,75.5,214536,83431,5030,5889,85.4,4486,5421,82.8,1577,3056,51.6,29,20.9,+8.1,248,781,244,59,975
Everton,29,38.0,14670,18248,80.4,298495,98778,5538,6304,87.8,6477,7377,87.8,2372,3845,61.7,32,32.9,-0.9,297,968,261,68,1072
Fulham,28,38.0,15183,18860,80.5,303251,96436,5675,6457,87.9,6921,7859,88.1,2312,3832,60.3,18,27.8,-9.8,335,991,311,100,1141
Leeds United,23,38.0,15997,20043,79.8,318537,104039,6052,6929,87.3,7237,8288,87.3,2454,4048,60.6,45,42.5,+2.5,390,1111,372,87,1409
Leicester City,27,38.0,16726,20572,81.3,316778,96218,6923,7840,88.3,7382,8362,88.3,2163,3648,59.3,45,33.1,+11.9,347,1164,304,64,1247
Liverpool,28,38.0,21527,25527,84.3,421366,125570,8395,9322,90.1,9732,10782,90.3,3072,4602,66.8,43,50.0,-7.0,444,1742,552,98,1914
Manchester City,24,38.0,23578,26689,88.3,442810,115350,9849,10630,92.7,10407,11258,92.4,2957,3997,74.0,55,51.0,+4.0,439,1833,447,46,1633
Manchester Utd,29,38.0,18495,21960,84.2,343759,103853,8082,8927,90.5,7765,8682,89.4,2316,3499,66.2,51,40.5,+10.5,402,1364,397,65,1502
Newcastle Utd,27,38.0,10617,14220,74.7,216780,78025,4270,4949,86.3,4306,5161,83.4,1836,3503,52.4,26,26.1,-0.1,272,693,216,74,759
Sheffield Utd,27,38.0,12057,15847,76.1,236411,83838,5270,6016,87.6,4719,5656,83.4,1830,3545,51.6,13,22.6,-9.6,245,959,268,64,988
Southampton,29,38.0,14758,18761,78.7,268855,88714,6542,7441,87.9,6331,7330,86.4,1593,3207,49.7,33,27.4,+5.6,288,889,274,41,1087
Tottenham,24,38.0,16143,19872,81.2,308671,97615,6803,7664,88.8,6812,7803,87.3,2224,3688,60.3,50,35.5,+14.5,307,1081,279,60,1181
West Brom,30,38.0,9743,13646,71.4,196127,76867,4031,4760,84.7,3853,4857,79.3,1634,3451,47.3,20,21.2,-1.2,230,792,204,73,874
West Ham,24,38.0,12533,16360,76.6,248445,89919,5241,6072,86.3,5056,6056,83.5,2006,3589,55.9,46,36.8,+9.2,331,944,264,103,967
Wolves,27,38.0,15232,18661,81.6,304571,93794,5943,6638,89.5,6525,7434,87.8,2500,3875,64.5,21,26.5,-5.5,346,1031,216,80,1033